"","PlotID","year","quad","native.nonnative","shanDiv","X","Location","num_burn","cool.warm_slope","fire_preLNU_year","currentFRI","medianRefFRI","meanPFRID","meanCC_FRI","PFR","Mean_diam_cm","mean_diam_mm"
"106","BOB006","2021","Q3","NONNATIVE_shanDiv",0.863682704841515,6,"Bobcat","5","warm",2015,16,59,-70.65,-3,"chaparral and serotinous conifer",0.169444444444444,1.69444444444444
"107","BOB006","2021","Q4","NATIVE_shanDiv",0.10166561946994,6,"Bobcat","5","warm",2015,16,59,-70.65,-3,"chaparral and serotinous conifer",0.169444444444444,1.69444444444444
"108","BOB006","2021","Q4","NONNATIVE_shanDiv",0.822943324191553,6,"Bobcat","5","warm",2015,16,59,-70.65,-3,"chaparral and serotinous conifer",0.169444444444444,1.69444444444444
"109","BOB006","2021","Q5","NATIVE_shanDiv",0.247327518560744,6,"Bobcat","5","warm",2015,16,59,-70.65,-3,"chaparral and serotinous conifer",0.169444444444444,1.69444444444444
"110","BOB006","2021","Q5","NONNATIVE_shanDiv",1.14560034390727,6,"Bobcat","5","warm",2015,16,59,-70.65,-3,"chaparral and serotinous conifer",0.169444444444444,1.69444444444444
"111","BOB006","2022","Q1","NATIVE_shanDiv",0,6,"Bobcat","5","warm",2015,16,59,-70.65,-3,"chaparral and serotinous conifer",0.169444444444444,1.69444444444444
"112","BOB006","2022","Q1","NONNATIVE_shanDiv",0.866977390384985,6,"Bobcat","5","warm",2015,16,59,-70.65,-3,"chaparral and serotinous conifer",0.169444444444444,1.69444444444444
"113","BOB006","2022","Q2","NATIVE_shanDiv",0,6,"Bobcat","5","warm",2015,16,59,-70.65,-3,"chaparral and serotinous conifer",0.169444444444444,1.69444444444444
"114","BOB006","2022","Q2","NONNATIVE_shanDiv",0.82221767118144,6,"Bobcat","5","warm",2015,16,59,-70.65,-3,"chaparral and serotinous conifer",0.169444444444444,1.69444444444444
"115","BOB006","2022","Q3","NATIVE_shanDiv",0.398894452383732,6,"Bobcat","5","warm",2015,16,59,-70.65,-3,"chaparral and serotinous conifer",0.169444444444444,1.69444444444444
"116","BOB006","2022","Q3","NONNATIVE_shanDiv",0.730093854096213,6,"Bobcat","5","warm",2015,16,59,-70.65,-3,"chaparral and serotinous conifer",0.169444444444444,1.69444444444444
"117","BOB006","2022","Q4","NATIVE_shanDiv",0.701873577147967,6,"Bobcat","5","warm",2015,16,59,-70.65,-3,"chaparral and serotinous conifer",0.169444444444444,1.69444444444444
"118","BOB006","2022","Q4","NONNATIVE_shanDiv",0.914288214489548,6,"Bobcat","5","warm",2015,16,59,-70.65,-3,"chaparral and serotinous conifer",0.169444444444444,1.69444444444444
"119","BOB006","2022","Q5","NATIVE_shanDiv",0.588743274335473,6,"Bobcat","5","warm",2015,16,59,-70.65,-3,"chaparral and serotinous conifer",0.169444444444444,1.69444444444444
"120","BOB006","2022","Q5","NONNATIVE_shanDiv",0.975665287080562,6,"Bobcat","5","warm",2015,16,59,-70.65,-3,"chaparral and serotinous conifer",0.169444444444444,1.69444444444444
"121","BOB007","2021","Q1","NATIVE_shanDiv",0.0487694290368297,7,"Bobcat","3","cool",2015,16,59,-70.65,-3,"chaparral and serotinous conifer",0.15,1.5
"122","BOB007","2021","Q1","NONNATIVE_shanDiv",1.25693743180196,7,"Bobcat","3","cool",2015,16,59,-70.65,-3,"chaparral and serotinous conifer",0.15,1.5
"123","BOB007","2021","Q2","NATIVE_shanDiv",0.0481648861130392,7,"Bobcat","3","cool",2015,16,59,-70.65,-3,"chaparral and serotinous conifer",0.15,1.5
"124","BOB007","2021","Q2","NONNATIVE_shanDiv",0.648198301792501,7,"Bobcat","3","cool",2015,16,59,-70.65,-3,"chaparral and serotinous conifer",0.15,1.5
"125","BOB007","2021","Q3","NATIVE_shanDiv",0.111770883964558,7,"Bobcat","3","cool",2015,16,59,-70.65,-3,"chaparral and serotinous conifer",0.15,1.5
"126","BOB007","2021","Q3","NONNATIVE_shanDiv",0.962967898057821,7,"Bobcat","3","cool",2015,16,59,-70.65,-3,"chaparral and serotinous conifer",0.15,1.5
"127","BOB007","2021","Q4","NATIVE_shanDiv",0.0992744563810787,7,"Bobcat","3","cool",2015,16,59,-70.65,-3,"chaparral and serotinous conifer",0.15,1.5
"128","BOB007","2021","Q4","NONNATIVE_shanDiv",0.575190002482993,7,"Bobcat","3","cool",2015,16,59,-70.65,-3,"chaparral and serotinous conifer",0.15,1.5
"129","BOB007","2021","Q5","NATIVE_shanDiv",0.164129415050075,7,"Bobcat","3","cool",2015,16,59,-70.65,-3,"chaparral and serotinous conifer",0.15,1.5
"130","BOB007","2021","Q5","NONNATIVE_shanDiv",0.88144415486013,7,"Bobcat","3","cool",2015,16,59,-70.65,-3,"chaparral and serotinous conifer",0.15,1.5
