"","plot_yr_quad","AIRCAR","LYSARV","AVEBAR","BRADIS","BRODIA","BROHOR","BROMAD","CARPYC","CENMEL","CERGLO","EROBOT","EROCIC","EROMOS","FESBRO","FESMYU","GALMUR","GALPAR","GASPHL","GERDIS","GERMOL","HYPGLA","LACSER","LOGGAL","MEDPOL","SENVUL","SILGAL","SILMAR","SONASP","SONOLE","STEMED","TORARV","TORNOD","TRIHIR"
"113","BOB001_2022 Q3",0,0,0.5,0,0,0,0.1,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"114","BOB001_2022 Q4",0,0,50,0,0,0,0,1,0.05,0,0,5,0,0,10,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
"115","BOB001_2022 Q5",0,0,15,0,0,0,0,0,0,0,0,20,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05
"116","BOB002_2021 Q1",0,0,7,0,0,0,2,4,0.5,0,0,0,0,0,2,0,0,1,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0
"117","BOB002_2021 Q2",0,0,30,0,0,0.2,2,3,5,0,0,2,0,0,33,0,0,0,0,0,4,0,0.1,0,0,0,0,0,0,0,0,0,0
"118","BOB002_2021 Q3",0,0,12,0,0,0,0,5,0,0,0,0,0,0,10,0,0,0.2,0,0,0.8,0,0.5,0,0,0,0,0,0,0,0,0,0
"119","BOB002_2021 Q4",0,0,10,0,0,0,3,0,0,0,0,0,0,0,15,0,0,0,0,0,4,0,0.1,0,0,0,0,0,0.1,0,0,0,0
"120","BOB002_2021 Q5",0,0,20,0,0,0,2,0,20,0,0,1,0,0,22,0,0,0,0,0,0.8,0,0,0,0,0,0,0,0,0,0,0,0
"121","BOB003_2021 Q1",0,0,5,0,0,0,0.1,0,1,0,0,0,0,0,5,0,0,0,0,0,3.5,0,0.5,0,0,0,0,0,0.3,0,0,0,0
"122","BOB003_2021 Q2",0,0,3,0,0,0,0.2,0,0,0,0,0,0,0,12,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0
"123","BOB003_2021 Q3",0,0,27,0,0,0,1.1,0,5,0,0,10,0,0,0.5,0,0,0,0,0,0.3,0,0,0,0,0,1,0,0,0,0,0,0
"124","BOB003_2021 Q4",0,0,19,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0.3,0,0,0,0,0,3,0,0,0,0,0,0
"125","BOB003_2021 Q5",0,0,0,0,0,0,1.5,0,4,0,0,0,0,0,5,0,0,0.1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
"126","BOB003_2022 Q1",0,0,50,0,0,0,0,0,0.5,0.05,0,10,0,0,0,0,0,0,0,0,20,0,0.05,0,0.05,0,2,0,0,0,0,0,0
"127","BOB003_2022 Q2",0,0,15,0,0,0,10,0,1.5,0,0,10,0,0,13,0,0,0,0,0,5,0,0.1,0,5,0,0,0,0,0,0,0,0
"128","BOB003_2022 Q3",0,0,40,0,0,0,3,0,0,0,0,0.5,0,0,40,0,0,0,0,0,5,0,0.05,0,0,0.1,0,0,0,0,0,0,0
