PlotID,spp,year,sum.count.5m2,presence
QUA003,ARCMAN,2021,0,0
QUA003,ARCMAN,2022,0,0
QUA003,CEACUN,2021,0,0
QUA003,CEACUN,2022,0,0
QUA003,CEAOLI,2021,0,0
QUA003,CEAOLI,2022,0,0
QUA003,CERBET,2021,0,0
QUA003,CERBET,2022,0,0
QUA003,ERICAL,2021,0,0
QUA003,ERICAL,2022,0,0
QUA003,ERINUD,2021,0,0
QUA003,ERINUD,2022,0,0
QUA003,HEAR,2021,0,0
QUA003,HEAR,2022,0,0
QUA003,HOLDIS,2021,0,0
QUA003,HOLDIS,2022,0,0
QUA003,LEPCAL,2021,0,0
QUA003,LEPCAL,2022,0,0
QUA003,MIMAUR,2021,0,0
QUA003,MIMAUR,2022,0,0
QUA003,QUEBER,2021,0,0
QUA003,QUEBER,2022,0,0
QUA003,RHAILI,2021,0,0
QUA003,RHAILI,2022,0,0
QUA003,RIBMAL,2021,0,0
QUA003,RIBMAL,2022,0,0
QUA003,SYMALB,2021,0,0
QUA003,SYMALB,2022,0,0
QUA003,SYMMOL,2021,0,0
QUA003,SYMMOL,2022,0,0
QUA003,TOXDIV,2021,0,0
QUA003,TOXDIV,2022,0,0
QUA005,ADFA,2021,8,1
QUA005,ADFA,2022,0,0
QUA005,ARCMAN,2021,0,0
QUA005,ARCMAN,2022,0,0
QUA005,CEACUN,2021,0,0
QUA005,CEACUN,2022,0,0
QUA005,CEAOLI,2021,0,0
QUA005,CEAOLI,2022,0,0
QUA005,CERBET,2021,0,0
QUA005,CERBET,2022,0,0
QUA005,ERICAL,2021,4,1
QUA005,ERICAL,2022,7,1
QUA005,ERINUD,2021,0,0
QUA005,ERINUD,2022,0,0
QUA005,HEAR,2021,0,0
QUA005,HEAR,2022,0,0
QUA005,HOLDIS,2021,0,0
QUA005,HOLDIS,2022,0,0
QUA005,LEPCAL,2021,0,0
QUA005,LEPCAL,2022,0,0
QUA005,MIMAUR,2021,0,0
QUA005,MIMAUR,2022,0,0
QUA005,QUEBER,2021,0,0
QUA005,QUEBER,2022,0,0
QUA005,RHAILI,2021,0,0
QUA005,RHAILI,2022,0,0
QUA005,RIBMAL,2021,0,0
QUA005,RIBMAL,2022,0,0
QUA005,SYMALB,2021,0,0
QUA005,SYMALB,2022,0,0
QUA005,SYMMOL,2021,0,0
QUA005,SYMMOL,2022,0,0
QUA005,TOXDIV,2021,0,0
QUA005,TOXDIV,2022,0,0
QUA006,ADFA,2021,6,1
QUA006,ADFA,2022,1,1
QUA006,ARCMAN,2021,0,0
QUA006,ARCMAN,2022,0,0
QUA006,CEACUN,2021,0,0
QUA006,CEACUN,2022,0,0
QUA006,CEAOLI,2021,0,0
QUA006,CEAOLI,2022,0,0
QUA006,CERBET,2021,0,0
QUA006,CERBET,2022,0,0
QUA006,ERICAL,2021,0,0
QUA006,ERICAL,2022,0,0
QUA006,ERINUD,2021,0,0
QUA006,ERINUD,2022,0,0
QUA006,HEAR,2021,0,0
QUA006,HEAR,2022,0,0
QUA006,HOLDIS,2021,0,0
QUA006,HOLDIS,2022,0,0
QUA006,LEPCAL,2021,0,0
QUA006,LEPCAL,2022,6,1
QUA006,MIMAUR,2021,0,0
QUA006,MIMAUR,2022,0,0
QUA006,QUEBER,2021,0,0
QUA006,QUEBER,2022,0,0
QUA006,RHAILI,2021,0,0
QUA006,RHAILI,2022,0,0
QUA006,RIBMAL,2021,0,0
QUA006,RIBMAL,2022,0,0
QUA006,SYMALB,2021,0,0
QUA006,SYMALB,2022,0,0
QUA006,SYMMOL,2021,0,0
QUA006,SYMMOL,2022,0,0
QUA006,TOXDIV,2021,0,0
QUA006,TOXDIV,2022,0,0
QUA008,ADFA,2021,5,2
QUA008,ADFA,2022,10,1
QUA008,ARCMAN,2021,0,0
QUA008,ARCMAN,2022,0,0
QUA008,CEACUN,2021,0,0
QUA008,CEACUN,2022,0,0
QUA008,CEAOLI,2021,0,0
QUA008,CEAOLI,2022,0,0
QUA008,CERBET,2021,0,0
QUA008,CERBET,2022,0,0
QUA008,ERICAL,2021,0,0
QUA008,ERICAL,2022,0,0
QUA008,ERINUD,2021,0,0
QUA008,ERINUD,2022,0,0
QUA008,HEAR,2021,0,0
QUA008,HEAR,2022,0,0
QUA008,HOLDIS,2021,0,0
QUA008,HOLDIS,2022,0,0
QUA008,LEPCAL,2021,0,0
QUA008,LEPCAL,2022,0,0
QUA008,MIMAUR,2021,0,0
QUA008,MIMAUR,2022,0,0
QUA008,QUEBER,2021,0,0
QUA008,QUEBER,2022,0,0
QUA008,RHAILI,2021,0,0
QUA008,RHAILI,2022,0,0
QUA008,RIBMAL,2021,0,0
QUA008,RIBMAL,2022,0,0
QUA008,SYMALB,2021,0,0
QUA008,SYMALB,2022,0,0
QUA008,SYMMOL,2021,0,0
QUA008,SYMMOL,2022,0,0
QUA008,TOXDIV,2021,0,0
QUA008,TOXDIV,2022,0,0
BOB002,ADFA,2021,0,0
BOB002,ADFA,2022,0,0
BOB002,ARCMAN,2021,0,0
BOB002,ARCMAN,2022,0,0
BOB002,CEACUN,2021,0,0
BOB002,CEACUN,2022,0,0
BOB002,CEAOLI,2021,0,0
BOB002,CEAOLI,2022,0,0
BOB002,CERBET,2021,0,0
BOB002,CERBET,2022,0,0
BOB002,ERICAL,2021,0,0
BOB002,ERICAL,2022,0,0
BOB002,ERINUD,2021,0,0
BOB002,ERINUD,2022,0,0
BOB002,HEAR,2021,0,0
BOB002,HEAR,2022,0,0
BOB002,HOLDIS,2021,0,0
BOB002,HOLDIS,2022,0,0
BOB002,LEPCAL,2021,0,0
BOB002,LEPCAL,2022,0,0
BOB002,MIMAUR,2021,0,0
BOB002,MIMAUR,2022,0,0
BOB002,QUEBER,2021,0,0
