id,old_id,code.x,area_cm2,fresh_wt_g,dry_wt_g,sla_cm2_g,lwc,code.y,Sample.number,Species.code,ecotype,X.N,X.C,C.N,NotesOnChanges,HtcmMn,HtcmSD,HtcmCV,ID.1,spines,ToughMn,ToughSD,ToughCV,WdDens10Mn,WdDens10SD,WdDens10CV
arctostaphylos_nevadensis_s,arctostaphylos_nevadensis_s,arcnev_s,23.7585,1.0864,0.50295,48.55839,0.537048969,arcnev_s,744,ARCNEV-S,S,0.73,50,68.49315068,,11.25,2.59300679,0.230489492,NA,NA,497,129.872407,0.26131269,0.565069833,0.246154036,0.435617019
arctostaphylos_nortensis_s,arctostaphylos_nortensis_s,arcnor_s,39.84,1.3091,0.6579,60.55631555,0.49744099,arcnor_s,745,ARCNOR-S,S,0.85,50.88,59.85882353,,298.3,339.7155837,1.138838698,NA,NA,369,74.33258595,0.201443322,0.590497083,0.06138624,0.103956889
arctostaphylos_obispoensis_s,arctostaphylos_obispoensis_s,arcobi_s,48.032,2.2685,1.1702,41.04597505,0.484152524,arcobi_s,746,ARCOBI-S,S,0.72,50.2,69.72222222,,257,114.4115379,0.445181081,NA,NA,553,92.02052911,0.166402403,0.622540095,0.188198611,0.302307614
arctostaphylos_patula_n,arctostaphylos_patula_n,arcpat_n,54.63,2.5273,1.0666,51.21882618,0.577968583,arcpat_n,747,ARCPAT-N,N,1.2,49.84,41.53333333,,95.2,34.22409807,0.359496828,NA,NA,378.5,59.39743728,0.1569285,0.907343945,0.474430566,0.522878417
arctostaphylos_patula_s,arctostaphylos_patula_s,arcpat_s,70.923,4.275,1.9467,36.4324241,0.544631579,arcpat_s,748,ARCPAT-S,S,0.97,50.3,51.8556701,,128.6,42.29578387,0.32889412,NA,NA,525,32.40370349,0.06172134,0.725663679,0.214105725,0.295048149
arctostaphylos_stanfordiana_n,arctostaphylos_stanfordiana_n,arcsta_n,31.415,1.3086,0.5878,53.44504934,0.550817668,arcsta_n,749,ARCSTA-N,N,0.87,50.19,57.68965517,,130,53.1245915,0.408650704,NA,NA,358.5,12.48332221,0.034820982,0.571497143,0.099084985,0.173377919
arctostaphylos_stanfordiana_ssp_raichei_n,arctostaphylos_stanfordiana_ssp_raichei_n,arcstar_n,25.025,1.3375,0.7178,34.86347172,0.463327103,arcstar_n,750,ARCSTANR-N,N,0.79,52.69,66.69620253,arcstar_n missing from CN list,104,52.95700562,0.509201977,NA,NA,413.1,41.30496338,0.099987808,0.720538357,0.112459304,0.156076776
arctostaphylos_viscida_n,arctostaphylos_viscida_n,arcvis_n,42.082,2.1258,0.8757,48.05527007,0.588060965,arcvis_n,751,ARCVIS-N,N,0.7,48.36,69.08571429,,160.4,49.81566019,0.310571448,NA,NA,NA,NA,NA,0.651364609,0.131586685,0.20201694
arctostaphylos_viscida_s,arctostaphylos_viscida_s,arcvis_s,75.098,4.3815,2.3295,32.23781927,0.468332763,arcvis_s,151,ARCVIS-S,S,0.84,48.56,57.80952381,,183.2,65.84319491,0.359406086,NA,NA,410.5,119.669501,0.291521318,0.655662759,0.097532457,0.148753999
arnica_cernua_s,arnica_cernua_s,arncer_s,73.321,3.74,0.5783,126.7871347,0.845374332,arncer_s,752,ARNCER-S,S,2.18,41.21,18.90366972,,17.17,3.705266522,0.215798866,NA,NA,152,37.35713527,0.245770627,NA,NA,NA
arnica_cordifolia_n,arnica_cordifolia_n,arncor_n,428.472,7.4386,1.0811,396.3296642,0.854663512,arncor_n,753,ARNCOR-N,N,2.06,40.16,19.49514563,,22,7.745966692,0.352089395,NA,NA,142,45.1048162,0.317639551,NA,NA,NA
arnica_spathulata_s,arnica_spathulata_s,arnspa_s,59.42,3.1331,0.50975,129.47686,0.837301714,arnspa_s,754,ARNSPA-S,S,1.05,39.21,37.34285714,,19.9,8.265725753,0.415363103,NA,NA,278.75,101.3705423,0.363661138,NA,NA,NA
artemisia_californica_n,artemisia_californica_n,artcal_n,3.94,0.0999,0.0406,97.04433498,0.593593594,artcal_n,755,ARTCAL-N,N,1.04,46.55,44.75961538,,88.9,18.24798315,0.205264152,NA,NA,NA,NA,NA,0.681652214,0.222824846,0.326889345
artemisia_californica_s,artemisia_californica_s,artcal_s,4.489,0.1289,0.0516,86.99612403,0.599689682,artcal_s,756,ARTCAL-S,S,1.09,47.36,43.44954128,,92.2,20.09864561,0.217989649,NA,NA,NA,NA,NA,0.634317069,0.104050459,0.164035407
