NewID	tjm1ID	family	mrt	Exotic/Native	RnA	RnA.original	RnA.source	RnA.notes	genus	Column 2
7134	7136	Liliaceae	Allium_howellii	Native	NTm	NTm	T4.gen		Allium	Asparagales
7135	7137	Liliaceae	Allium_howellii_clokeyi	Native	NTm	NTm	T4.gen		Allium	Asparagales
7136	7138	Liliaceae	Allium_howellii_howellii	Native	NTm	NTm	T4.gen		Allium	Asparagales
7137	7139	Liliaceae	Allium_howellii_sanbenitense	Native	NTm	NTm	T4.gen		Allium	Asparagales
7138	7140	Liliaceae	Allium_hyalinum	Native	NTm	NTm	T4.gen		Allium	Asparagales
7139	7141	Liliaceae	Allium_jepsonii	Native	NTm	NTm	T4.gen		Allium	Asparagales
7140	7142	Liliaceae	Allium_lacunosum	Native	NTm	NTm	T4.gen		Allium	Asparagales
7141	7143	Liliaceae	Allium_lacunosum_davisiae	Native	NTm	NTm	T4.gen		Allium	Asparagales
7142	7144	Liliaceae	Allium_lacunosum_kernense	Native	NTm	NTm	T4.gen		Allium	Asparagales
7143	7145	Liliaceae	Allium_lacunosum_lacunosum	Native	NTm	NTm	T4.gen		Allium	Asparagales
7144	7146	Liliaceae	Allium_lacunosum_micranthum	Native	NTm	NTm	T4.gen		Allium	Asparagales
7145	7147	Liliaceae	Allium_lemmonii	Native	NTm	NTm	T4.gen		Allium	Asparagales
7146	7148	Liliaceae	Allium_membranaceum	Native	NTm	NTm	T4.gen		Allium	Asparagales
7147	7149	Liliaceae	Allium_monticola	Native	NTm	NTm	T4.gen		Allium	Asparagales
7148	7150	Liliaceae	Allium_munzii	Native	NTm	NTm	T4.gen		Allium	Asparagales
7149	7151	Liliaceae	Allium_neapolitanum	Exotic	NTm	NTm	T4.gen		Allium	Asparagales
7150	7152	Liliaceae	Allium_nevadense	Native	NTm	NTm	T4.gen		Allium	Asparagales
7151	7153	Liliaceae	Allium_obtusum	Native	NTm	NTm	T4.gen		Allium	Asparagales
7152	7154	Liliaceae	Allium_obtusum_conspicuum	Native	NTm	NTm	T4.gen		Allium	Asparagales
